811c9dc5 
340ca71c 1
4b85ecb6 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_BootsPanel/Slots/ItemShop_BootsPanel_Slot0
4c85ee49 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_BootsPanel/Slots/ItemShop_BootsPanel_Slot1
4985e990 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_BootsPanel/Slots/ItemShop_BootsPanel_Slot2
4a85eb23 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_BootsPanel/Slots/ItemShop_BootsPanel_Slot3
4f85f302 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_BootsPanel/Slots/ItemShop_BootsPanel_Slot4
5085f495 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_BootsPanel/Slots/ItemShop_BootsPanel_Slot5
4d85efdc ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_BootsPanel/Slots/ItemShop_BootsPanel_Slot6
4e85f16f ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_BootsPanel/Slots/ItemShop_BootsPanel_Slot7
5385f94e ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_BootsPanel/Slots/ItemShop_BootsPanel_Slot8
383b3590 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_CloseButton
74bdd69e ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ConsumablesPanel
543f754f ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ConsumablesPanel/ConsumablesPanel_PinBtn
2a56473c ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ConsumablesPanel/ItemShop_ConsumablesPanel_Closed
8aafd3e5 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ConsumablesPanel/ItemShop_ConsumablesPanel_ExpandedRegion
7e3e21b6 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ConsumablesPanel/ItemShop_ConsumablesPanel_HoverVFX
9fe3281d ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ConsumablesPanel/ItemShop_ConsumablesPanel_Opened
6bea433e ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ConsumablesPanel/ItemShop_ConsumablesPanel_TutorialVFX
46b207be ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ConsumablesPanel/Slots/ItemShop_ConsumablesPanel_Slot0
47b20951 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ConsumablesPanel/Slots/ItemShop_ConsumablesPanel_Slot1
3e44c3b3 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ConsumablesPanel/Slots/ItemShop_ConsumablesPanel_Slot10
3d44c220 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ConsumablesPanel/Slots/ItemShop_ConsumablesPanel_Slot11
44b20498 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ConsumablesPanel/Slots/ItemShop_ConsumablesPanel_Slot2
45b2062b ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ConsumablesPanel/Slots/ItemShop_ConsumablesPanel_Slot3
4ab20e0a ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ConsumablesPanel/Slots/ItemShop_ConsumablesPanel_Slot4
4bb20f9d ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ConsumablesPanel/Slots/ItemShop_ConsumablesPanel_Slot5
48b20ae4 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ConsumablesPanel/Slots/ItemShop_ConsumablesPanel_Slot6
49b20c77 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ConsumablesPanel/Slots/ItemShop_ConsumablesPanel_Slot7
3eb1fb26 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ConsumablesPanel/Slots/ItemShop_ConsumablesPanel_Slot8
3fb1fcb9 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ConsumablesPanel/Slots/ItemShop_ConsumablesPanel_Slot9
346cb681 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_Inventory_Panel
3177e293 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_Inventory_Panel/Inventory_Panel_PinButton
f9230e80 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_Inventory_Panel/ItemShop_Inventory_Panel_Closed
87b1ea21 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_Inventory_Panel/ItemShop_Inventory_Panel_ExpandedRegion
a2f62952 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_Inventory_Panel/ItemShop_Inventory_Panel_HoverVFX
3e514cc9 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_Inventory_Panel/ItemShop_Inventory_Panel_Opened
bda09a8e ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_Inventory_Panel/Slots/ItemShop_Inventory_Panel_Slot0
d7e6f509 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_Inventory_Panel/Slots/ItemShop_Inventory_Panel_Slot0_CountText
bea09c21 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_Inventory_Panel/Slots/ItemShop_Inventory_Panel_Slot1
ab3f5702 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_Inventory_Panel/Slots/ItemShop_Inventory_Panel_Slot1_CountText
bba09768 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_Inventory_Panel/Slots/ItemShop_Inventory_Panel_Slot2
23a9d973 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_Inventory_Panel/Slots/ItemShop_Inventory_Panel_Slot2_CountText
bca098fb ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_Inventory_Panel/Slots/ItemShop_Inventory_Panel_Slot3
2b1c4d14 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_Inventory_Panel/Slots/ItemShop_Inventory_Panel_Slot3_CountText
c1a0a0da ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_Inventory_Panel/Slots/ItemShop_Inventory_Panel_Slot4
3a47f3b5 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_Inventory_Panel/Slots/ItemShop_Inventory_Panel_Slot4_CountText
c2a0a26d ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_Inventory_Panel/Slots/ItemShop_Inventory_Panel_Slot5
718df3be ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_Inventory_Panel/Slots/ItemShop_Inventory_Panel_Slot5_CountText
bfa09db4 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_Inventory_Panel/Slots/ItemShop_Inventory_Panel_Slot6
eeba8f4f ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_Inventory_Panel/Slots/ItemShop_Inventory_Panel_Slot6_CountText
d9ec84b7 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ItemDetails
4e3c2a2e ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ItemDetails/ItemShop_BuildTreeDisplayRegion
6126978b ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ItemDetails/ItemShop_BuildTreeLine_Horizontal
72d53dc5 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ItemDetails/ItemShop_BuildTreeLine_Vertical
d4a2f0fd ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ItemDetails/ItemShop_BundleItem_List_Layout/ItemShop_BundleItem_List_Region
6ac33a66 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ItemDetails/ItemShop_Bundle_PurchaseButton
ea4fd236 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ItemDetails/ItemShop_ItemDescription_CostText
7b41fb5b ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ItemDetails/ItemShop_ItemDescription_GoldIcon
91b74116 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ItemDetails/ItemShop_ItemDescription_ItemIcon
1eaa876d ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ItemDetails/ItemShop_ItemDescription_TitleText
4c954508 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ItemDetails/ItemShop_ItemDetails_ViewPane/ItemShop_ItemDescription_Body
a0ec6e8e ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ItemPageTemplate
20b593ed ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ItemPageTemplate/ItemShop_ItemPageTemplate_Item_Icon
a983ecd3 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_PurchaseButton
9068e79a ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_ResizeDrag
07f50632 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_SearchBar/ItemShop_SearchBar_BarStretch
b158c460 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_SearchBar/ItemShop_SearchBar_ClearIcon
0fce088d ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_SearchBar/ItemShop_SearchBar_Default_Text
2d3cee6f ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_SearchBar/ItemShop_SearchBar_Text
74b64355 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_SearchView
b7a829bf ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_SearchView/ItemShop_SID_ViewPane/ItemShop_SearchItemDescription_Body
7b768ad1 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_SearchView/ItemShop_SID_ViewPane/ItemShop_SearchItemDescription_ClickRegion
f07984bd ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_SearchView/ItemShop_SID_ViewPane/ItemShop_SearchItemDescription_CostText
46405a90 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_SearchView/ItemShop_SID_ViewPane/ItemShop_SearchItemDescription_GoldIcon
b81dd836 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_SearchView/ItemShop_SID_ViewPane/ItemShop_SearchItemDescription_HoverIcon
fe625dc1 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_SearchView/ItemShop_SID_ViewPane/ItemShop_SearchItemDescription_ItemIcon
49124758 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_SearchView/ItemShop_SID_ViewPane/ItemShop_SearchItemDescription_TitleText
71a3a716 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_SearchView/ItemShop_SearchDimBackdrop
2e29d007 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_SearchView/ItemShop_SearchView_Rec_Label
a1b2ea25 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_SearchView/ItemShop_SearchView_ViewPane/ItemShop_SearchView_ItemRegion
562b9928 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_SellButton
58d803b4 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_SellOverlay
d151f999 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_SellOverlay/ItemShop_SellOverlay_DragArea
4b56319c ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_SellOverlay/ItemShop_SellOverlay_SellIconDefault
e141822b ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_SellOverlay/ItemShop_SellOverlay_SellIconHover
ef76df96 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_SellOverlay/ItemShop_SellOverlay_SellItemText
617c06df ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabButton
7e859a96 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_AllItems
a256cdfc ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_AllItems/ItemShop_AllItems_ViewPane/ItemShop_AllItems_HeaderRegion
b18f546f ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_AllItems/ItemShop_AllItems_ViewPane/ItemShop_AllItems_HeaderText
94747728 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_AllItems/ItemShop_AllItems_ViewPane/ItemShop_AllItems_HeaderText_Dimmed
e30d16ca ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_AllItems/ItemShop_AllItems_ViewPane/ItemShop_AllItems_ItemRegion
27181db5 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_AllItems/filter/ItemShop_AllButton
80a45c37 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_AllItems/filter/ItemShop_AssassinButton
b6a79196 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_AllItems/filter/ItemShop_AttackButton
b9a5362e ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_AllItems/filter/ItemShop_DefenseButton
713f27ea ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_AllItems/filter/ItemShop_InvertButton
8f840315 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_AllItems/filter/ItemShop_MagicButton
f9e9bfc0 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_AllItems/filter/ItemShop_MarksmanButton
94873b63 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_AllItems/filter/ItemShop_PopularButton
08836e1e ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_AllItems/filter/ItemShop_UtilityButton
80504b71 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_ItemSets
0d2ccbdd ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_ItemSets/ComboBox
a7deac5d ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_ItemSets/ItemShop_ItemSets_ViewPane/ItemShop_ItemSets_HeaderRegion
e417c81e ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_ItemSets/ItemShop_ItemSets_ViewPane/ItemShop_ItemSets_HeaderText
7480d4d7 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_ItemSets/ItemShop_ItemSets_ViewPane/ItemShop_ItemSets_ItemRegion
33eee581 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_RecItems
0206830c ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_RecItems/CardElements/ItemShop_RecItems_BriefText
00afee84 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_RecItems/Slots/ItemShop_RecItems_CommonlyBuilt_Slot0
01aff017 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_RecItems/Slots/ItemShop_RecItems_CommonlyBuilt_Slot1
02aff1aa ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_RecItems/Slots/ItemShop_RecItems_CommonlyBuilt_Slot2
03aff33d ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_RecItems/Slots/ItemShop_RecItems_CommonlyBuilt_Slot3
fcafe838 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_RecItems/Slots/ItemShop_RecItems_CommonlyBuilt_Slot4
fdafe9cb ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_RecItems/Slots/ItemShop_RecItems_CommonlyBuilt_Slot5
feafeb5e ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_RecItems/Slots/ItemShop_RecItems_CommonlyBuilt_Slot6
ffafecf1 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_RecItems/Slots/ItemShop_RecItems_CommonlyBuilt_Slot7
f8afe1ec ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_RecItems/Slots/ItemShop_RecItems_CommonlyBuilt_Slot8
0a8e9420 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_RecItems/Slots/ItemShop_RecItems_RecItemSlot0
0b8e95b3 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_RecItems/Slots/ItemShop_RecItems_RecItemSlot1
0c8e9746 ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_TabView_RecItems/Slots/ItemShop_RecItems_RecItemSlot2
52c55efe ClientStates/Gameplay/UX/ItemShop/UIBase/ItemShop/ItemShop_UndoButton
998e5273 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot
e577752f ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ASummonerSpecialistSelector
1e7efa90 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ASummonerSpecialistSelector/ASummonerSpecialistSpell
33f51f5f ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ASummonerSpecialistSelector/ASummonerSpecialistSpell/ASummonerSpecialistSpell_Icon
7d085e91 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ASummonerSpecialistSelector/ASummonerSpecialist_Layout
61a3f663 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ASummonerSpecialistToggles
e9705566 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ASummonerSpecialistToggles/ASummonerSpecialistToggle0
ea7056f9 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ASummonerSpecialistToggles/ASummonerSpecialistToggle1
a3774bc3 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosBuffs
3e1fa2a9 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosBuffs/ACenterTooltip
bb9cda99 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosBuffs/APlayerBuffTemplate
9b8eb568 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosBuffs/APlayerBuffTemplate/APlayerBuffBorderNegative
ee5567f0 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosBuffs/APlayerBuffTemplate/APlayerBuffBorderPositive
f5fc0a1e ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosBuffs/APlayerBuffTemplate/APlayerBuffCooldownFX
cfaa71be ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosBuffs/APlayerBuffTemplate/APlayerBuffHitRegion
a0f0eae8 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosBuffs/APlayerBuffTemplate/APlayerBuffIcon
b003569c ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosBuffs/APlayerBuffTemplate/APlayerBuffStacks
a0a7a9a6 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosBuffs/APlayerNegativeBuffLayout
a8197652 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosBuffs/APlayerPositiveBuffLayout
2ecda8ce ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosFrame/APerks_Button
f40f2d67 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosFrame/APlayerExp_Backdrop
8a40c5bd ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosFrame/APlayerExp_BarTexture
2e2d7210 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosFrame/APlayerIcon
cf8e3e7d ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosFrame/APlayerLevel
3c9ab094 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosFrame/APlayerRespawnTimer
36685e85 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosFrame/APlayerVoiceChatHalo
9b2fa5c1 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosFrame/ASpellToolTip
f404c9d5 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosFrame/AStatStones_Button
0279e3f0 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosFrame/AStats_Button
bdbb8d74 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosFrame/AStatusMessageToolTip
6ed6df6a ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosLevelUp
dbb38944 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosLevelUp/ALevelUp0_Button
e06bf94d ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosLevelUp/ALevelUp1_Button
82d4321e ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosLevelUp/ALevelUp2_Button
f7616acd ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosLevelUp/ALevelUp_Text
1b5a5c8b ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosLevelUpFxIn
65e31cec ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosLevelUpFxIn/ALevelUp0_AbilityIn
3a54aa96 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosLevelUpFxIn/ALevelUp0_ButtonAfterFXIn
629f7f10 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosLevelUpFxIn/ALevelUp0_ButtonIn
9cb0d8f7 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosLevelUpFxIn/ALevelUp1_AbilityIn
d4947fc1 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosLevelUpFxIn/ALevelUp1_ButtonAfterFXIn
8dde6985 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosLevelUpFxIn/ALevelUp1_ButtonIn
82b133ca ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosLevelUpFxIn/ALevelUp2_AbilityIn
8acf9038 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosLevelUpFxIn/ALevelUp2_ButtonAfterFXIn
8fdd263a ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosLevelUpFxIn/ALevelUp2_ButtonIn
74bb86f1 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosLevelUpFxOut/ALevelUp0_IdleGlow
0c4a3a61 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosLevelUpFxOut/ALevelUp0_IdleSheen
21543cb1 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosLevelUpFxOut/ALevelUp0_SelectedOut
a3fab278 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosLevelUpFxOut/ALevelUp0_UnselectedOut
7433b0f4 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosLevelUpFxOut/ALevelUp1_IdleGlow
6553b90e ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosLevelUpFxOut/ALevelUp1_IdleSheen
627b5022 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosLevelUpFxOut/ALevelUp1_SelectedOut
562be003 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosLevelUpFxOut/ALevelUp1_UnselectedOut
138d0147 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosLevelUpFxOut/ALevelUp2_IdleGlow
ca4e9207 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosLevelUpFxOut/ALevelUp2_IdleSheen
29c7ce0b ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosLevelUpFxOut/ALevelUp2_SelectedOut
52e12b6e ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosLevelUpFxOut/ALevelUp2_UnselectedOut
7fa198de ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosResourceBars/ApheliosHPMeter
411880a0 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosResourceBars/ApheliosHPMeter/ApheliosHP_AnimationGreen
106c8f7b ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosResourceBars/ApheliosHPMeter/ApheliosHP_Backdrop
bf77a010 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosResourceBars/ApheliosHPMeter/ApheliosHP_BarFade
862f6665 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosResourceBars/ApheliosHPMeter/ApheliosHP_RegenText
36b80a05 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosResourceBars/ApheliosHPMeter/ApheliosHP_ValueText
f20839ed ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosResourceBars/ApheliosPARMeter
0fa03a8b ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosResourceBars/ApheliosPARMeter/ApheliosPar_Backdrop
a4543439 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosResourceBars/ApheliosPARMeter/ApheliosPar_BarTextureBlue
e1870495 ClientStates/Gameplay/UX/LoL/Champ/Aphelios/UIBase/ApheliosRoot/ApheliosResourceBars/ApheliosPARMeter/ApheliosPar_RegenText
